Index,ID,Address label,Whitelist,Coin,Address_Metamask,Network,Memo,Address origin
50,50,0050_eth_arbitrum,,eth,0x43bE0e2713D6A2525ebF9a4Eb429af9A0f2a77D7,arbitrum,,MetaMask
51,51,0051_eth_arbitrum,,eth,0xf4fe3515ABAD4b400f2135640dC31B5feA777978,arbitrum,,MetaMask
52,52,0052_eth_arbitrum,,eth,0xc2c2109DB2B535E2adf62028FBAD740515DCD2EE,arbitrum,,MetaMask
53,53,0053_eth_arbitrum,,eth,0xD5310C8e1aCce0daD2A85490ebd4bf06420E3140,arbitrum,,MetaMask
54,54,0054_eth_arbitrum,,eth,0x2130560405656CE3baad1FA8056C2554883b7b92,arbitrum,,MetaMask
55,55,0055_eth_arbitrum,,eth,0xEA37704Be7bC4575B111BD92796Fe02C2088D5EB,arbitrum,,MetaMask
56,56,0056_eth_arbitrum,,eth,0xd2370390764839008021E95C70C80769AcfFF4A9,arbitrum,,MetaMask
57,57,0057_eth_arbitrum,,eth,0x2d5997Cd1f7Dab6cD9a3b6246Daa55D544a0Fcd6,arbitrum,,MetaMask
58,58,0058_eth_arbitrum,,eth,0x373a7Cdc04ca76Fc681De9365dD802A24BE725ab,arbitrum,,MetaMask
59,59,0059_eth_arbitrum,,eth,0x5C7F4b0dF3c2eBC9293ADD99E8598A8Aa173B168,arbitrum,,MetaMask
60,60,0060_eth_arbitrum,,eth,0x30bD92f4B8902a0Bf36B477430442504365E3f77,arbitrum,,MetaMask
61,61,0061_eth_arbitrum,,eth,0xC0497A20Dde150c20922231bB6bcB56cc41B7C62,arbitrum,,MetaMask
62,62,0062_eth_arbitrum,,eth,0x524B9Cd256668f02aC246F62Dc1E9143159D0b85,arbitrum,,MetaMask
63,63,0063_eth_arbitrum,,eth,0xE45d66c5900bcd5059666DA0CE1F977faaFb69d5,arbitrum,,MetaMask
64,64,0064_eth_arbitrum,,eth,0x8291f302189283B0C0E4c78B340070a8d748DdD9,arbitrum,,MetaMask
65,65,0065_eth_arbitrum,,eth,0xBaDDBaED3b19F6ca4778bE9580b8d12c1FCf25Ea,arbitrum,,MetaMask
66,66,0066_eth_arbitrum,,eth,0xD5D84B783286225083200c0FD2e819e0d600e2F7,arbitrum,,MetaMask
67,67,0067_eth_arbitrum,,eth,0xb485a94D6Af76898707B3aa7805c189C7825Ed49,arbitrum,,MetaMask
68,68,0068_eth_arbitrum,,eth,0x0DE0b32e0a731A04B369A472b21313e05F5CD50B,arbitrum,,MetaMask
69,69,0069_eth_arbitrum,,eth,0x8811bc7f71b08624f2f9F49A4De9bb55BBb08b7A,arbitrum,,MetaMask
70,70,0070_eth_arbitrum,,eth,0x7F642c381294ba786dd2fF22cdC64314eB5A7e5F,arbitrum,,MetaMask
71,71,0071_eth_arbitrum,,eth,0x489Eb2CD8495Ca4588EADd5fE485F96Ed20dba40,arbitrum,,MetaMask
72,72,0072_eth_arbitrum,,eth,0x82b4cED262f5C554429D33821B494E9db3620361,arbitrum,,MetaMask
73,73,0073_eth_arbitrum,,eth,0x8872D0aC7948A389b8900d84ce527A865678ed8c,arbitrum,,MetaMask
74,74,0074_eth_arbitrum,,eth,0x1216620d91BA5341c6F7A20e62F9a690606c49AA,arbitrum,,MetaMask
75,75,0075_eth_arbitrum,,eth,0xB6161D0a9c4acc1b4b5f3e633377188ac2D4715B,arbitrum,,MetaMask
76,76,0076_eth_arbitrum,,eth,0x614F7041f87ed7c1c9d8893Fa9f0169d32e5cbD2,arbitrum,,MetaMask
77,77,0077_eth_arbitrum,,eth,0xA25f9F214Ce7606FfdcC6874de2cc57daFB917Ac,arbitrum,,MetaMask
78,78,0078_eth_arbitrum,,eth,0xFbf466b4e11a272f7E78BfC41Ee603B7ed3A7627,arbitrum,,MetaMask
79,79,0079_eth_arbitrum,,eth,0x0D5621C55572F5db847d529BdFab1887FAcEc138,arbitrum,,MetaMask
80,80,0080_eth_arbitrum,,eth,0xF0A49c0898551F3B493ca5A2adFe3EE6C6ad5DC3,arbitrum,,MetaMask
81,81,0081_eth_arbitrum,,eth,0xbBC5c5B8ed370e280702EB641567E5E59525618C,arbitrum,,MetaMask
82,82,0082_eth_arbitrum,,eth,0xD073C173B36e1cEAFf2CfEf3656238e200f468d9,arbitrum,,MetaMask
83,83,0083_eth_arbitrum,,eth,0x302bB50e2E70c42045816F97928F84412d51Bd78,arbitrum,,MetaMask
84,84,0084_eth_arbitrum,,eth,0xd87ed41e20944FbF043e59f3D444a326698d08B9,arbitrum,,MetaMask
85,85,0085_eth_arbitrum,,eth,0x3D8E17f7D0aACDe44dB79bb611f1a237549c5514,arbitrum,,MetaMask
86,86,0086_eth_arbitrum,,eth,0xDE7275731fB9cCdd0FEC699428Eaaa912A0bB64b,arbitrum,,MetaMask
87,87,0087_eth_arbitrum,,eth,0x0B5b17E7D78C64B20E5e22a2740Ee93d6A5081BA,arbitrum,,MetaMask
88,88,0088_eth_arbitrum,,eth,0x7A2ec24A1768d8379Dfe7Bcf3082aF94B9e9C917,arbitrum,,MetaMask
89,89,0089_eth_arbitrum,,eth,0x13d828FE96C81B6A14a5D42827064E51AFe7437D,arbitrum,,MetaMask
90,90,0090_eth_arbitrum,,eth,0x3A27baEBDC966f6b683e1a6f53d155278b8cBEA2,arbitrum,,MetaMask
91,91,0091_eth_arbitrum,,eth,0x374A1Bf5F4A49E4561ebC4bB6a93192aec4776BD,arbitrum,,MetaMask
92,92,0092_eth_arbitrum,,eth,0xDE58FD6B98FdAfC97d4b33E19026ddD380919941,arbitrum,,MetaMask
93,93,0093_eth_arbitrum,,eth,0x578E5cF9C646D62e84926479Cfb30051054Ed1ba,arbitrum,,MetaMask
94,94,0094_eth_arbitrum,,eth,0x5FfD3453259477B3404881bc3A818f03108aD8f8,arbitrum,,MetaMask
95,95,0095_eth_arbitrum,,eth,0x97D8210256568C14070413Cff132696Af9a14c42,arbitrum,,MetaMask
96,96,0096_eth_arbitrum,,eth,0xD7cA92a00aF69A545BFe42E0f894fDb2Cf566e6F,arbitrum,,MetaMask
97,97,0097_eth_arbitrum,,eth,0x2656660bBa12bbfe9Fc6cfF931dCe30E187A3Cd0,arbitrum,,MetaMask
98,98,0098_eth_arbitrum,,eth,0x99AeE650a7Eb667B23E373aFE1C4c62C66A5C223,arbitrum,,MetaMask
99,99,0099_eth_arbitrum,,eth,0xC591B00878Dc02D32Babe43B594fb76F87C80C4B,arbitrum,,MetaMask
100,100,0100_eth_arbitrum,,eth,0x326CEeD683e43Cc24E62057D8449c320C48de552,arbitrum,,MetaMask
101,1,0001_matic_matic,,matic,0x87D25f2A8cfABa06bA60bE911DA3401604531229,matic,,MetaMask
102,2,0002_matic_matic,,matic,0x20BE2a74d3cECdD5dC192F813B3C1365A0896b4A,matic,,MetaMask
103,3,0003_matic_matic,,matic,0x5842b90d5Ba4a545E5c41E1689089367953C987b,matic,,MetaMask
104,4,0004_matic_matic,,matic,0xf1522aa4390f57fC3C9C309dD1388882cF4c0216,matic,,MetaMask
105,5,0005_matic_matic,,matic,0x6EC2509b69c0015046BbbEBA8a1C55A522A810Dd,matic,,MetaMask
106,6,0006_matic_matic,,matic,0x4bB2F63a562eC44Bba554380205A183d47E683a3,matic,,MetaMask
107,7,0007_matic_matic,,matic,0x3238f3d0Aa88d79AE05Ed8d236cf186cDe03426f,matic,,MetaMask
108,8,0008_matic_matic,,matic,0xe1d17ddc2d3F246fC9DB516b8f1A2C17a020762e,matic,,MetaMask
109,9,0009_matic_matic,,matic,0xAE9fa765B261f8518aCABf461Fc1b3fB96279a0b,matic,,MetaMask
110,10,0010_matic_matic,,matic,0x71a6dFe3aE69C4933B9107895148F8A1F19C1C8D,matic,,MetaMask
111,11,0011_matic_matic,,matic,0x2A1291F774D8feEdCC557115bf463c42A851f102,matic,,MetaMask
112,12,0012_matic_matic,,matic,0xf7735390B9370fE6b585dB42dec7c5B8fa598577,matic,,MetaMask
113,13,0013_matic_matic,,matic,0x5dA9Cf6768113bA85C3Bd0DF6a636319D304C3fA,matic,,MetaMask
114,14,0014_matic_matic,,matic,0xDBc5afFbD74a06fCc600e354A05FF3E719cE5393,matic,,MetaMask
115,15,0015_matic_matic,,matic,0x252F5CD31D47d5A4819E69Ddb3048ce400E88d53,matic,,MetaMask
116,16,0016_matic_matic,,matic,0x7e22B240237dCa06E05097c3c2eaA9264a905765,matic,,MetaMask
117,17,0017_matic_matic,,matic,0xcCFCe2589ad1Dd94e8a2ebd4F1f636b15BEB6851,matic,,MetaMask
118,18,0018_matic_matic,,matic,0xd280418758f45881b9b00f1ccC9a183c6e05d85f,matic,,MetaMask
119,19,0019_matic_matic,,matic,0x914Aa322D0DDbF8646E154b58788a21170Bef01E,matic,,MetaMask
120,20,0020_matic_matic,,matic,0x86059dB6605a1c5F32A26f0861aA8a05F5F0eee2,matic,,MetaMask
121,21,0021_matic_matic,,matic,0x8CFADd0bF6b57B3ec262751f87aAed0504e5D85F,matic,,MetaMask
122,22,0022_matic_matic,,matic,0x3e7Bf8D2AC2D68E188eF60e1C203067C38F53c5B,matic,,MetaMask
123,23,0023_matic_matic,,matic,0x3ddd3781f5D44CA92249Dea9576538b57e100f9C,matic,,MetaMask
124,24,0024_matic_matic,,matic,0x42bBFf96B0FAD436Fb4063ff00ec613A73aCf0DE,matic,,MetaMask
125,25,0025_matic_matic,,matic,0x733552ac8391AEE0786A4F310e411b914778f84f,matic,,MetaMask
126,26,0026_matic_matic,,matic,0xC5DA8Bc3424a0284EfF380135a82c9E99EA1533D,matic,,MetaMask
127,27,0027_matic_matic,,matic,0x69A9C5218dA8dA5D55aaB8bc298e28c070BA06f9,matic,,MetaMask
128,28,0028_matic_matic,,matic,0xb20352472a7C2E56E521Bc3b5b5EC4fa46574606,matic,,MetaMask
129,29,0029_matic_matic,,matic,0x3Ebf6637A9A5fe5116106B8cAEB323ad7D9d59E0,matic,,MetaMask
130,30,0030_matic_matic,,matic,0x4befFE2Db7b856e97cef7A27dA66555C4Fb163c8,matic,,MetaMask
131,31,0031_matic_matic,,matic,0xa5EBbd10934878660F804B5cFAbcf8Ddc699DB00,matic,,MetaMask
132,32,0032_matic_matic,,matic,0x44B66ab547a283BaC81D3950EEA4BC365809df26,matic,,MetaMask
133,33,0033_matic_matic,,matic,0xd39Ab28f0D6336Ca225A3cDeb7f0c74a8A9c3A85,matic,,MetaMask
134,34,0034_matic_matic,,matic,0xfAFe89a9402ef64438679Af1f725c258593Fce62,matic,,MetaMask
135,35,0035_matic_matic,,matic,0x2030175A286992Df646C2d94014d0D3f2a70Ab25,matic,,MetaMask
136,36,0036_matic_matic,,matic,0x5666312CDF2BB88498Caf778514f5DfB471B7AD2,matic,,MetaMask
137,37,0037_matic_matic,,matic,0x855807e15EB0bBD67844f25296Cb475518d1d105,matic,,MetaMask
138,38,0038_matic_matic,,matic,0x5aAF6a1596518E6395c7CE6E85D78540dcBa0672,matic,,MetaMask
139,39,0039_matic_matic,,matic,0xFDf7298003016Dd459C2a3B8F6C3f0365BdCC7d5,matic,,MetaMask
140,40,0040_matic_matic,,matic,0xdCf4D67a51cfA8e1f9B539D5f0DE1e032B5f54ec,matic,,MetaMask
141,41,0041_matic_matic,,matic,0xA49188fa9F357c20044a8800D25BE412642153fe,matic,,MetaMask
142,42,0042_matic_matic,,matic,0x777C2DF06607d4A34eDAFf4E451bCb9c5A5440Ea,matic,,MetaMask
143,43,0043_matic_matic,,matic,0x7d2811b9207fC9c2C4DEBeF93Cd2CC56749382B2,matic,,MetaMask
